UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/1/2023,1/2/2023,1/3/2023,1/4/2023,1/5/2023,1/6/2023,1/7/2023,1/8/2023,1/9/2023,1/10/2023,1/11/2023,1/12/2023,1/13/2023,1/14/2023,1/15/2023,1/16/2023,1/17/2023,1/18/2023,1/19/2023,1/20/2023,1/21/2023,1/22/2023,1/23/2023,1/24/2023,1/25/2023,1/26/2023,1/27/2023,1/28/2023,1/29/2023,1/30/2023,1/31/2023,2/1/2023,2/2/2023,2/3/2023,2/4/2023,2/5/2023,2/6/2023,2/7/2023,2/8/2023,2/9/2023,2/10/2023,2/11/2023,2/12/2023,2/13/2023
84001001,US,USA,840,1001,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",18961,18961,18961,19205,19205,19205,19205,19205,19205,19205,19318,19318,19318,19318,19318,19318,19318,19389,19389,19389,19389,19389,19389,19389,19471,19471,19471,19471,19471,19471,19471,19530,19530,19530,19530,19530,19530,19530,19630,19630,19630,19630,19630,19630
84001003,US,USA,840,1003,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",67496,67496,67496,68182,68182,68182,68182,68182,68182,68182,68518,68518,68518,68518,68518,68518,68518,68764,68764,68764,68764,68764,68764,68764,68983,68983,68983,68983,68983,68983,68983,69187,69187,69187,69187,69187,69187,69187,69344,69344,69344,69344,69344,69344
84001005,US,USA,840,1005,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",7027,7027,7027,7120,7120,7120,7120,7120,7120,7120,7188,7188,7188,7188,7188,7188,7188,7258,7258,7258,7258,7258,7258,7258,7299,7299,7299,7299,7299,7299,7299,7339,7339,7339,7339,7339,7339,7339,7387,7387,7387,7387,7387,7387
84001007,US,USA,840,1007,Bibb,Alabama,US,32.99642064,-87.1251146,"Bibb, Alabama, US",7692,7692,7692,7808,7808,7808,7808,7808,7808,7808,7855,7855,7855,7855,7855,7855,7855,7889,7889,7889,7889,7889,7889,7889,7919,7919,7919,7919,7919,7919,7919,7967,7967,7967,7967,7967,7967,7967,8012,8012,8012,8012,8012,8012
84001009,US,USA,840,1009,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",17731,17731,17731,17952,17952,17952,17952,17952,17952,17952,18057,18057,18057,18057,18057,18057,18057,18130,18130,18130,18130,18130,18130,18130,18255,18255,18255,18255,18255,18255,18255,18349,18349,18349,18349,18349,18349,18349,18488,18488,18488,18488,18488,18488
84001011,US,USA,840,1011,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",2886,2886,2886,2926,2926,2926,2926,2926,2926,2926,2939,2939,2939,2939,2939,2939,2939,2956,2956,2956,2956,2956,2956,2956,2970,2970,2970,2970,2970,2970,2970,2991,2991,2991,2991,2991,2991,2991,3002,3002,3002,3002,3002,3002
84001013,US,USA,840,1013,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",6185,6185,6185,6279,6279,6279,6279,6279,6279,6279,6318,6318,6318,6318,6318,6318,6318,6347,6347,6347,6347,6347,6347,6347,6410,6410,6410,6410,6410,6410,6410,6449,6449,6449,6449,6449,6449,6449,6478,6478,6478,6478,6478,6478
84001015,US,USA,840,1015,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",39458,39458,39458,39897,39897,39897,39897,39897,39897,39897,40193,40193,40193,40193,40193,40193,40193,40377,40377,40377,40377,40377,40377,40377,40586,40586,40586,40586,40586,40586,40586,40813,40813,40813,40813,40813,40813,40813,40979,40979,40979,40979,40979,40979
84001017,US,USA,840,1017,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",10311,10311,10311,10458,10458,10458,10458,10458,10458,10458,10545,10545,10545,10545,10545,10545,10545,10599,10599,10599,10599,10599,10599,10599,10656,10656,10656,10656,10656,10656,10656,10705,10705,10705,10705,10705,10705,10705,10746,10746,10746,10746,10746,10746
84001019,US,USA,840,1019,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",6456,6456,6456,6537,6537,6537,6537,6537,6537,6537,6590,6590,6590,6590,6590,6590,6590,6628,6628,6628,6628,6628,6628,6628,6668,6668,6668,6668,6668,6668,6668,6688,6688,6688,6688,6688,6688,6688,6701,6701,6701,6701,6701,6701
84001021,US,USA,840,1021,Chilton,Alabama,US,32.85044126,-86.7173256,"Chilton, Alabama, US",12596,12596,12596,12697,12697,12697,12697,12697,12697,12697,12758,12758,12758,12758,12758,12758,12758,12792,12792,12792,12792,12792,12792,12792,12829,12829,12829,12829,12829,12829,12829,12876,12876,12876,12876,12876,12876,12876,12905,12905,12905,12905,12905,12905
84001023,US,USA,840,1023,Choctaw,Alabama,US,32.02227341,-88.2656443,"Choctaw, Alabama, US",2204,2204,2204,2218,2218,2218,2218,2218,2218,2218,2221,2221,2221,2221,2221,2221,2221,2232,2232,2232,2232,2232,2232,2232,2236,2236,2236,2236,2236,2236,2236,2239,2239,2239,2239,2239,2239,2239,2241,2241,2241,2241,2241,2241
84001025,US,USA,840,1025,Clarke,Alabama,US,31.68099859,-87.83548597,"Clarke, Alabama, US",8184,8184,8184,8305,8305,8305,8305,8305,8305,8305,8382,8382,8382,8382,8382,8382,8382,8415,8415,8415,8415,8415,8415,8415,8430,8430,8430,8430,8430,8430,8430,8458,8458,8458,8458,8458,8458,8458,8501,8501,8501,8501,8501,8501
84001027,US,USA,840,1027,Clay,Alabama,US,33.26984193,-85.85836077,"Clay, Alabama, US",4941,4941,4941,4991,4991,4991,4991,4991,4991,4991,5017,5017,5017,5017,5017,5017,5017,5050,5050,5050,5050,5050,5050,5050,5079,5079,5079,5079,5079,5079,5079,5097,5097,5097,5097,5097,5097,5097,5110,5110,5110,5110,5110,5110
84001029,US,USA,840,1029,Cleburne,Alabama,US,33.67679204,-85.52005899,"Cleburne, Alabama, US",4222,4222,4222,4266,4266,4266,4266,4266,4266,4266,4292,4292,4292,4292,4292,4292,4292,4316,4316,4316,4316,4316,4316,4316,4342,4342,4342,4342,4342,4342,4342,4361,4361,4361,4361,4361,4361,4361,4380,4380,4380,4380,4380,4380
84001031,US,USA,840,1031,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",16328,16328,16328,16493,16493,16493,16493,16493,16493,16493,16593,16593,16593,16593,16593,16593,16593,16683,16683,16683,16683,16683,16683,16683,16774,16774,16774,16774,16774,16774,16774,16866,16866,16866,16866,16866,16866,16866,16954,16954,16954,16954,16954,16954
